,latest_changed_password,max_item_count,days_since_first_transaction,email_address_age_days,email_domain_label,email_domain_tld_label,email_username_length,num_unique_delivery_addresses,latest_delivery_address_name_length,latest_delivery_address_region_label,latest_delivery_address_fraction_vowels,latest_order_amount_usd,latest_item_category,latest_item_product_title,latest_item_quantity,latest_item_tag_count,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change,per_day_add_item_to_cart,per_day_transactions,per_day_payment_method_change,per_day_devices_per_user,per_day_purchase_total,per_day_unique_billing_last4,per_month_logout,per_month_page_activity,per_month_transactions
12424,False,1.0,216.3300881253207,163.94950922453702,730.0,17.0,8.0,2.0,8.0,10.0,0.2048091128868336,32.26943670362415,Missing,Missing,-999.0,-999.0,98.69,2.0,2.0,0.0,-999.0,1.0,0.0,1.0,33.53,1.0,-999.0,-999.0,9.166380544422898
8786,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Fries & Sides,Natural Cut Fries,2.0,1.0,-999.0,1.0,-999.0,0.0,2.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
4933,False,-999.0,-999.0,767.3353124189815,386.0,17.0,15.0,-999.0,14.0,10.0,0.2206719728109948,-999.0,Missing,Missing,-999.0,-999.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
14606,False,-999.0,-999.0,5.4561814351851865,386.0,17.0,17.0,-999.0,14.0,10.0,0.4370653858222679,-999.0,Wings,Wings (Boneless),1.0,1.0,-999.0,1.0,4.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
1100,False,-999.0,-999.0,0.017288287037037,386.0,17.0,13.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cheesecakes & Specialty Desserts,Coffee & Cream Chocolate Supreme,1.0,1.0,-999.0,1.0,2.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
13883,False,1.0,310.50155738312594,775.9231388425926,1100.0,17.0,14.0,-999.0,13.0,43.0,0.2559971619474862,16.812044929821305,Entrees,Burrito Bowl,1.0,1.0,0.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,-999.0
4411,False,2.0,882.3419052204302,164.0698902199074,1100.0,17.0,8.0,2.0,14.0,5.0,0.1757441757426507,234.9401147216666,Salads & Soups,Udon Noodle Soup,1.0,1.0,58.85,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,58.85,-999.0,-999.0,-999.0,9.169221543382587
9786,Missing,1.0,52.02909373671755,55.86703885416666,386.0,17.0,16.0,1.0,16.0,43.0,0.3087282039648278,18.29799417584961,APPETIZERS & SOUPS,Zesty Nachos,1.0,1.0,-999.0,1.0,-999.0,0.0,-999.0,7.0,0.0,1.0,-999.0,1.0,-999.0,-999.0,5.917629281267505
15786,False,1.0,244.78760704770465,286.32379809027776,1100.0,17.0,11.0,1.0,12.0,43.0,0.4677686051488552,109.66741892151568,Specialty Subs,Philly Steak Sub,1.0,1.0,0.0,2.0,1.0,1.0,2.0,-999.0,0.0,2.0,0.0,-999.0,1.0,5.0,2.642726630721465
11638,False,4.0,595.77773911591,272.7054591666667,1100.0,17.0,12.0,2.0,13.0,10.0,0.3164652397859234,109.66741892151568,Desayuno / Breakfast,Tostada Cubana / Cuban Toasts,1.0,1.0,13.72,3.0,4.0,3.0,-999.0,2.0,0.0,1.0,12.72,1.0,-999.0,-999.0,8.20660473237964
2175,False,2.0,322.2798161507004,145.93158314814815,386.0,17.0,15.0,1.0,12.0,43.0,0.2726858928880131,62.57212123416299,Desserts,Banana Pudding,1.0,1.0,10.32,2.0,7.0,0.0,-999.0,24.0,0.0,2.0,10.32,1.0,-999.0,-999.0,27.63370940716564
15031,False,1.0,341.9330837234544,1105.9658718865742,726.0,28.0,10.0,1.0,13.0,34.0,0.4882086788453298,98.82131284306271,New at Subby's,Cheese Sticks,1.0,1.0,29.94,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,29.94,-999.0,-999.0,-999.0,4.986742101592652
16365,Missing,-999.0,-999.0,0.0090908680555555,386.0,17.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,Stir-Fry (Sawatdee),42. Chicken Delight,1.0,1.0,-999.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
2712,False,1.0,314.9896886833975,1155.4900318287034,386.0,17.0,10.0,1.0,11.0,3.0,0.2512434098197445,10.642474145756385,Missing,Missing,-999.0,-999.0,42.49,2.0,6.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,1.022146923407751
5831,False,2.0,314.9896886833975,1244.2139740393518,386.0,17.0,13.0,1.0,11.0,34.0,0.3537544417893719,69.24973705608689,Entrees,Burrito Bowl,1.0,1.0,24.66,1.0,-999.0,0.0,2.0,1.0,0.0,2.0,24.66,1.0,-999.0,1.0,7.064780983969825
4654,False,-999.0,-999.0,10.032945810185184,730.0,17.0,6.0,-999.0,10.0,22.0,0.2528283726207418,-999.0,Home-style Sides,Biscuits,1.0,1.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
296,Missing,1.0,314.9896886833975,363.88586266203697,386.0,17.0,11.0,-999.0,14.0,15.0,0.4505311359728406,156.64452063125933,Sides    Fries & Onion Rings|Fries & Onion Rings,Large French Fries,1.0,1.0,-999.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
3394,False,1.0,1044.5496685582714,1106.6655472916666,386.0,17.0,17.0,1.0,17.0,8.0,0.5579770895803933,64.91756021485156,Entrees,Three Tacos with Salmon or Beef Brisket,1.0,1.0,0.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,2.357102823182811
14771,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Dollar Cravings,Beefy Fritos® Burrito,1.0,1.0,-999.0,1.0,-999.0,0.0,15.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
585,True,2.0,1467.4945329962436,168.85321211805555,386.0,17.0,7.0,1.0,16.0,5.0,0.3805879048435078,109.66741892151568,Fries,Regular Fries,1.0,1.0,34.55,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,34.55,1.0,-999.0,-999.0,6.299572537850391
7829,False,1.0,343.4536339410578,301.06336038194445,386.0,17.0,13.0,-999.0,11.0,5.0,0.41699862340108,109.66741892151568,Rose Tea,Green Apple Rose Tea,1.0,1.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
8810,False,1.0,939.3869998041308,887.1194972685187,612.0,17.0,5.0,1.0,14.0,5.0,0.285068731797218,97.56978934785089,Roll,Avocado Roll,1.0,1.0,22.63,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,22.63,-999.0,-999.0,-999.0,2.509385030459829
2319,False,1.0,847.098847174176,0.0017897222222222,1121.0,17.0,14.0,1.0,15.0,5.0,0.3362367034564067,86.41794367401104,House Specials,Southern Fried Chicken,1.0,1.0,-999.0,2.0,6.0,1.0,5.0,1.0,1.0,3.0,-999.0,2.0,1.0,1.0,4.483389023143445
4764,False,1.0,23.311556892866577,356.2752366087963,386.0,17.0,9.0,1.0,10.0,5.0,0.2768749420001672,109.66741892151568,Fried Rice,125. Shrimp Fried Rice,1.0,1.0,69.06,1.0,4.0,0.0,-999.0,1.0,0.0,1.0,69.06,1.0,-999.0,-999.0,4.762370191188721
3867,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Lunch Special - Donburi,Sake Don,1.0,1.0,-999.0,1.0,-999.0,0.0,1.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
4193,False,1.0,382.64363361224594,1422.8757077777775,458.0,17.0,10.0,-999.0,11.0,4.0,0.3938351552329435,166.71515947097313,Appetizers,Ceviche,1.0,0.0,0.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,-999.0
7921,False,1.0,458.639799246887,907.946411099537,472.0,17.0,12.0,1.0,11.0,45.0,0.2794797462726751,109.66741892151568,Entrees,Burrito,1.0,1.0,28.0,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,28.0,-999.0,-999.0,-999.0,2.135005717459441
9122,False,2.0,314.9896886833975,7.991686736111111,458.0,17.0,12.0,1.0,10.0,44.0,0.2734498212534619,30.711499157926117,Beverages,Large Fountain Drink,1.0,1.0,4.33,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.5,1.0,-999.0,1.0,7.8295094868693536
3308,False,5.0,103.38227532151008,6.692481724537037,1088.0,17.0,10.0,1.0,9.0,36.0,0.3619153978730489,209.9565277266304,Beverages,Real Shakes,4.0,1.0,-999.0,2.0,5.0,9.0,5.0,-999.0,0.0,3.0,-999.0,1.0,-999.0,2.0,11.118586183568652
2823,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Burritos,Fajita Burrito,1.0,1.0,-999.0,1.0,-999.0,0.0,1.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
12012,False,1.0,314.9896886833975,478.7233835185185,1100.0,17.0,15.0,1.0,17.0,11.0,0.5790067422213694,8.135189653679582,Build It! Pizzas,"2 Ingredients Pizza (Medium 14"")",1.0,1.0,21.54,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,21.54,1.0,-999.0,-999.0,8.533277277153257
13965,False,1.0,106.7727106662104,317.2769792476852,386.0,17.0,11.0,1.0,11.0,5.0,0.2524231726905194,109.66741892151568,Pasta,Linguine w/ Clams,1.0,1.0,95.88,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,63.8,1.0,-999.0,-999.0,9.768142224074415
1927,False,1.0,314.9896886833975,319.93098399305563,386.0,17.0,17.0,2.0,15.0,16.0,0.4005865408079725,170.13621600103698,Fire-Grilled Gourmet Burgers,Prime Chophouse,1.0,1.0,54.61,2.0,1.0,0.0,-999.0,1.0,0.0,1.0,35.07,1.0,-999.0,-999.0,8.671231408808849
12927,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Rice Dishes,Vegetable Fried Rice,1.0,1.0,-999.0,1.0,-999.0,0.0,8.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
1763,False,1.0,219.57631058975312,858.0582266203703,386.0,17.0,14.0,1.0,14.0,5.0,0.275299130146816,84.58315404717675,Signature Cakes,￼ Checkers (per Slice),1.0,0.0,-999.0,1.0,3.0,1.0,-999.0,2.0,1.0,1.0,-999.0,2.0,-999.0,-999.0,1.0251398096337243
12198,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cheesecakes & Specialty Desserts,Fresh Strawberry,1.0,1.0,-999.0,1.0,-999.0,0.0,1.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
14807,Missing,1.0,118.0144251578694,192.8201133449074,386.0,17.0,9.0,1.0,13.0,16.0,0.3574448454146178,109.66741892151568,Desserts,Blue Ribbon Brownie,1.0,1.0,11.5,1.0,-999.0,0.0,-999.0,3.0,0.0,1.0,11.5,-999.0,-999.0,-999.0,2.6144704084298307
6609,False,-999.0,-999.0,214.65303041666667,386.0,17.0,8.0,-999.0,11.0,15.0,0.2762180534604149,-999.0,Missing,Missing,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
13728,False,1.0,1024.1054141337524,264.2736287962963,1100.0,17.0,9.0,1.0,12.0,5.0,0.2454818022371683,109.66741892151568,Appetizers,Avocado Eggrolls,1.0,1.0,40.88,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,40.88,-999.0,-999.0,-999.0,7.377863431840638
28,False,-999.0,-999.0,354.30956017361115,1100.0,17.0,11.0,-999.0,15.0,24.0,0.285555801535985,-999.0,Missing,Missing,-999.0,-999.0,-999.0,1.0,4.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
10084,False,2.0,517.4208056727507,708.1180312731482,1100.0,17.0,11.0,1.0,16.0,33.0,0.2973041337542869,3.5665983512896453,Extras,Half Dozen Cheddar Bay Biscuits®,1.0,1.0,0.0,2.0,3.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,8.198241809499049
13419,False,1.0,314.9896886833975,0.0248969328703703,1100.0,17.0,10.0,1.0,12.0,44.0,0.4696013375044027,109.66741892151568,Missing,Missing,-999.0,-999.0,-999.0,2.0,6.0,0.0,-999.0,4.0,0.0,2.0,-999.0,1.0,-999.0,-999.0,1.0938742375667
6573,False,-999.0,-999.0,0.0083930902777777,386.0,17.0,10.0,-999.0,10.0,11.0,0.2277106756062508,-999.0,Burritos,Beefy 5-Layer Burrito,2.0,1.0,-999.0,1.0,6.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
12635,False,2.0,314.9896886833975,262.0111637384259,386.0,17.0,8.0,2.0,15.0,35.0,0.2943516569515425,109.66741892151568,Missing,Missing,-999.0,-999.0,31.12,2.0,-999.0,2.0,-999.0,11.0,1.0,1.0,0.0,2.0,-999.0,-999.0,14.49832174998512
10024,Missing,1.0,840.7067726104008,548.9902200462963,386.0,17.0,12.0,1.0,15.0,5.0,0.3408687269211116,157.10657771064496,Sides,French Fries,1.0,1.0,79.4,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,79.4,1.0,-999.0,-999.0,8.526154728159241
8010,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Sharables & Sides,Potato Wedges - Basket,1.0,1.0,-999.0,1.0,-999.0,0.0,2.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
1435,Missing,1.0,277.97811247705454,88.97078145833332,386.0,17.0,19.0,1.0,14.0,11.0,0.5916299422754216,109.66741892151568,Sandwiches,Rib Sandwich,1.0,1.0,0.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,8.948714845768857
11838,False,2.0,67.22365824834614,325.9784215856482,646.0,17.0,10.0,2.0,11.0,21.0,0.3296684836051982,83.13360745177569,Appetizers,Crab Dip Potato Skins,1.0,1.0,77.02,1.0,3.0,1.0,-999.0,1.0,0.0,1.0,0.0,1.0,-999.0,-999.0,2.6258225821975
2446,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Ice Cream,Double Scoop,1.0,1.0,-999.0,1.0,-999.0,0.0,1.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
12947,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Treats,Sea Salt Caramel Brownie,1.0,1.0,-999.0,1.0,-999.0,0.0,3.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
9590,False,1.0,314.9896886833975,156.10726755787036,1100.0,17.0,10.0,1.0,13.0,33.0,0.4270798099680859,196.84246486605343,Entrees,Burrito Bowl,1.0,1.0,-999.0,1.0,7.0,3.0,-999.0,4.0,3.0,1.0,-999.0,2.0,-999.0,-999.0,6.808575821126562
6708,False,1.0,336.28704900640565,171.81374484953704,951.0,17.0,2.0,1.0,11.0,33.0,0.2311341937950447,18.927081178890116,Beverages,Canned Soda,1.0,1.0,14.03,1.0,4.0,0.0,-999.0,3.0,0.0,1.0,14.03,1.0,-999.0,-999.0,6.939155069789563
13335,False,2.0,541.3100730196193,201.10593327546297,472.0,17.0,10.0,-999.0,15.0,15.0,0.4750431694793062,133.6526005293715,Entrees,Burrito Bowl,1.0,1.0,-999.0,1.0,6.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
16210,False,1.0,314.9896886833975,318.90368266203706,386.0,17.0,13.0,1.0,14.0,33.0,0.2373870745454486,283.13446287528376,Tasty Bite,TB-5. Granola Crab Salad,1.0,1.0,-999.0,1.0,6.0,1.0,4.0,5.0,1.0,2.0,-999.0,2.0,-999.0,2.0,1.748393666879395
2187,False,1.0,314.9896886833975,154.26443706018517,386.0,17.0,16.0,1.0,16.0,33.0,0.344142631926168,109.66741892151568,Sides,Mac & Cheese,2.0,1.0,114.05,4.0,1.0,0.0,-999.0,2.0,0.0,2.0,53.15,1.0,-999.0,-999.0,1.6496778492091426
10624,False,1.0,268.04486591784024,118.22517289351852,386.0,17.0,13.0,1.0,13.0,10.0,0.5013312492098896,109.66741892151568,Sushi Rolls,Chicken Tempura Roll,1.0,1.0,0.0,1.0,5.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,8.818319285300717
13226,False,1.0,314.9896886833975,1578.4904273148147,386.0,17.0,13.0,1.0,12.0,5.0,0.4402465019348875,109.66741892151568,Bundles,40 Nuggets & Fries Bundle,1.0,1.0,0.0,1.0,-999.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,4.483389023143445
5871,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Angus Sirloin Burgers,Claremont Burger,1.0,1.0,-999.0,2.0,-999.0,0.0,1.0,-999.0,0.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0
6794,False,2.0,1275.178274242213,791.1504267592592,386.0,17.0,17.0,1.0,15.0,5.0,0.4274866260509183,109.66741892151568,Missing,Missing,-999.0,-999.0,-999.0,1.0,8.0,2.0,-999.0,6.0,2.0,1.0,-999.0,3.0,-999.0,-999.0,13.618796501241317
10058,False,1.0,207.07512300706549,50.806820069444434,472.0,17.0,19.0,1.0,14.0,5.0,0.327006089969833,78.2503706180371,Missing,Missing,-999.0,-999.0,-999.0,1.0,4.0,0.0,-999.0,2.0,0.0,1.0,-999.0,1.0,-999.0,-999.0,4.483389023143445
11424,False,1.0,471.69594759196497,169.94198524305554,1100.0,17.0,10.0,1.0,12.0,34.0,0.3598529145711283,109.66741892151568,Signature Sandwiches,The Philly Original,1.0,1.0,48.37000000000001,1.0,-999.0,0.0,7.0,2.0,0.0,2.0,48.37000000000001,1.0,-999.0,5.0,5.513866268486405
7579,False,1.0,367.30253548629133,504.9338838425926,386.0,17.0,8.0,1.0,13.0,8.0,0.2380810446420849,120.45914203064316,Regular Sushi Roll or Hand Roll,#9. Fire & Ice Roll,1.0,1.0,47.56,1.0,-999.0,0.0,-999.0,2.0,0.0,1.0,47.56,1.0,-999.0,1.0,4.362609385716341
1238,False,2.0,549.3622520115551,175.2107730092593,386.0,17.0,14.0,1.0,9.0,5.0,0.3239276881269105,0.920976292125733,Entrees,Ruam Mit Puck,1.0,1.0,50.11,1.0,4.0,1.0,-999.0,1.0,0.0,1.0,31.01,1.0,-999.0,-999.0,1.1815061216565317
352,False,1.0,83.67148906280426,104.01108532407407,386.0,17.0,11.0,1.0,16.0,6.0,0.325326531580884,109.66741892151568,Side,Chips,1.0,1.0,22.73,1.0,-999.0,0.0,4.0,1.0,0.0,2.0,22.73,1.0,-999.0,3.0,4.483389023143445
7414,Missing,1.0,465.6378429631399,379.88945795138886,386.0,17.0,14.0,1.0,15.0,10.0,0.4014778036381086,109.66741892151568,Breakfast Sides,Fried Apples,1.0,1.0,90.55,2.0,-999.0,0.0,-999.0,1.0,0.0,1.0,48.27,1.0,-999.0,-999.0,5.64692192351055
3234,False,1.0,215.5801334915271,1056.1661410416666,64.0,17.0,5.0,1.0,13.0,33.0,0.5566326989879593,109.66741892151568,Soup,Fagioli with Escarole,1.0,1.0,49.48,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,49.48,1.0,-999.0,-999.0,4.483389023143445
13448,False,1.0,1036.3876949966643,724.142323587963,386.0,17.0,13.0,-999.0,12.0,5.0,0.3807009855234678,235.90831822504256,Sandwiches & Salads,Cali Club Sandwich,1.0,1.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
1821,False,1.0,616.7588267229738,114.01872390046294,64.0,17.0,10.0,-999.0,12.0,43.0,0.3668755047562563,109.66741892151568,Combos,10PC Chicken Nuggets Combo,1.0,1.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
6948,Missing,1.0,1029.2401822537795,1319.233352708333,386.0,17.0,8.0,1.0,16.0,5.0,0.3759782691755598,108.0916325841792,Kobe Curry,Chicken Cutlet Curry,1.0,1.0,42.92,1.0,-999.0,0.0,-999.0,1.0,0.0,1.0,42.92,-999.0,1.0,-999.0,8.351741937115925
10886,False,1.0,445.7107712877315,1643.0476433912036,386.0,17.0,15.0,-999.0,13.0,45.0,0.5665613165867012,109.66741892151568,Entrees,Burrito Bowl,1.0,1.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
16283,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Sides,Extra Sauces and Dressings,1.0,1.0,-999.0,1.0,-999.0,0.0,1.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
10871,False,1.0,877.2336256433633,1725.4347360300924,612.0,17.0,14.0,2.0,14.0,5.0,0.2971920929118178,109.66741892151568,Grab & Go,One Pita,1.0,1.0,77.18,2.0,2.0,0.0,-999.0,1.0,0.0,1.0,33.99,-999.0,-999.0,-999.0,4.483389023143445
4997,False,1.0,314.9896886833975,578.9502399537038,825.0,28.0,6.0,1.0,11.0,30.0,0.1730598965509794,109.66741892151568,Sushi Rolls,California (8 Pc),1.0,1.0,12.1,1.0,2.0,0.0,-999.0,1.0,0.0,1.0,12.1,-999.0,-999.0,-999.0,3.3539463898221022
9550,False,1.0,314.9896886833975,110.29320192129629,1079.0,46.0,13.0,-999.0,13.0,35.0,0.392539416762378,109.66741892151568,Breakfast,Chicken    Egg & Cheese Bagel,1.0,1.0,0.0,2.0,2.0,0.0,-999.0,-999.0,0.0,1.0,0.0,-999.0,-999.0,-999.0,-999.0
10303,False,1.0,314.9896886833975,464.46166652777777,386.0,17.0,15.0,-999.0,15.0,34.0,0.4250027494133839,136.9180520613617,Breakfast,Hash Browns,3.0,1.0,-999.0,1.0,1.0,0.0,-999.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
11274,False,1.0,187.47087013475735,315.64745480324075,386.0,17.0,11.0,-999.0,13.0,33.0,0.1294110284874041,109.66741892151568,Cold Drinks,Malted,1.0,1.0,0.0,3.0,2.0,0.0,-999.0,-999.0,0.0,2.0,0.0,-999.0,-999.0,-999.0,-999.0
2274,Missing,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Vegetable Entrees,Kuzu Stew,1.0,1.0,-999.0,1.0,-999.0,0.0,3.0,-999.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0
